name,description,price,categoryId,imageUrl
"Сварочный аппарат инверторный Ресанта САИ-160","Профессиональный сварочный аппарат для MMA сварки, ток до 160А",25000.00,1,"https://example.com/welder1.jpg"
"Электроды АНО-21 3мм","Электроды для сварки низкоуглеродистых сталей, диаметр 3мм",1500.50,2,"https://example.com/electrodes.jpg"
"Маска сварщика хамелеон Speedglas 9100XXi","Автоматическая маска с затемнением 9-13 DIN",3500.00,3,"https://example.com/mask.jpg"
"Перчатки сварщика кожаные","Кожаные перчатки для защиты рук при сварке",800.00,3,"https://example.com/gloves.jpg"
"Проволока сварочная 0.8мм","Проволока для полуавтоматической сварки, диаметр 0.8мм",2200.00,2,"https://example.com/wire.jpg"
"Газовый баллон 40л","Баллон для защитного газа при сварке",4500.00,1,"https://example.com/gas_cylinder.jpg"
"Редуктор газовый","Редуктор для регулировки давления газа",1200.00,1,"https://example.com/reducer.jpg"
"Шлем сварщика","Защитный шлем для сварки",2500.00,3,"https://example.com/helmet.jpg"
"Флюс сварочный","Флюс для сварки алюминия",1800.00,2,"https://example.com/flux.jpg"
"Краги сварщика","Защитные краги для сварки",1200.00,3,"https://example.com/gauntlets.jpg"
